,Terry Gilliam,Michael Palin,John Cleese|Sean Connery|Shelley Duvall|Katherine Helmond|Ian Holm|Ralph Richardson|Peter Vaughan|David Warner|David Warner,Time Bandits
,Steven Spielberg,Melissa Mathison,Dee Wallace|Peter Coyote|Henry Thomas,E.T. the Extra-Terrestrial
Dick Richards,Sydney Pollack,,Dustin Hoffman|Jessica Lange|Teri Garr|Dabney Coleman|Dustin Hoffman|Jessica Lange|Teri Garr|Dabney Coleman|Charles Durning,Tootsie
Douglas Day Stewart,Taylor Hackford,,Richard Gere|Debra Winger|David Keith|Louis Gossett Jr.,An Officer and a Gentleman
Robert Chartoff|Irwin Winkler,Sylvester Stallone,,Talia Shire|Burt Young|Carl Weathers|Burgess Meredith,Rocky III
Robert Sallin,Nicholas Meyer,,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|Walter Koenig|George Takei|Nichelle Nichols|Bibi Besch|Paul Winfield|Kirstie Alley|Ricardo MontalbÃ¡n,Star Trek II: The Wrath of Khan
Lawrence Gordon|Lawrence Gordon|Joel Silver,Walter Hill|Walter Hill,Larry Gross|Steven E. de Souza,Nick Nolte|Eddie Murphy|Annette O'Toole,48 Hrs.
Frank Marshall|Frank Marshall|Steven Spielberg,Tobe Hooper,,JoBeth Williams|Craig T. Nelson|JoBeth Williams|Craig T. Nelson|Beatrice Straight,Poltergeist
Robert L. Boyett,Colin Higgins,Larry L. King|Peter Masterson,Burt Reynolds|Dolly Parton|Dom DeLuise|Charles Durning|Jim Nabors,The Best Little Whorehouse in Texas
Ray Stark,John Huston,,Albert Finney|Carol Burnett|Bernadette Peters|Ann Reinking|Tim Curry|Geoffrey Holder|Edward Herrmann|Aileen Quinn,Annie
,Babbar Subhash,Dr. Rahi Masoom Reza|Deepak Balraj Vij,Rajesh Khanna|Om Puri|Gita Siddharth|Om Shivpuri,Disco Dancer
,Leonid Gaidai,Leonid Gaidai|Vladlen Bakhnov,Algis Arlauskas|Svetlana Amanova|Mikhail Pugovkin|Mikhail Kokshenov|Nina Grebeshkova,
Howard Kazanjian,Richard Marquand,,Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams|Anthony Daniels|David Prowse|Kenny Baker (English actor)|Kenny Baker|Peter Mayhew|Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams|Anthony Daniels|David Prowse|Kenny Baker (English actor)|Kenny Baker|Peter Mayhew|Frank Oz,Return of the Jedi
,James L. Brooks,,Shirley MacLaine|Debra Winger|Jack Nicholson|Jeff Daniels|Danny DeVito|John Lithgow,Terms of Endearment
Don Simpson|Jerry Bruckheimer|Lynda Obst|Lynda Rosen Obst|Peter Guber|Jon Peters,Adrian Lyne,,Jennifer Beals|Michael Nouri,Flashdance
Aaron Russo,John Landis,Timothy Harris|Timothy Harris|Herschel Weingrod,Dan Aykroyd|Eddie Murphy|Ralph Bellamy|Don Ameche|Denholm Elliott|Jamie Lee Curtis,Trading Places
Leonard Goldberg|Harold K. Schneider|Bruce McNall,John Badham,Lawrence Lasker|Walter Parkes|Walter F. Parkes,Matthew Broderick|Dabney Coleman|John Wood (English actor)|John Wood|Ally Sheedy,WarGames
Albert R. Broccoli,John Glen|John Glen,,Roger Moore|Maud Adams|Louis Jourdan|Kristina Wayborn|Kabir Bedi,Octopussy
,Clint Eastwood,,Sondra Locke,Sudden Impact
Robert Stigwood,Sylvester Stallone,Norman Wexler,John Travolta|Cynthia Rhodes|Finola Hughes|Steve Inwood,Staying Alive.
Lynn Loring|Lauren Shuler Donner|Lauren Shuler|Aaron Spelling,Stan Dragoti,John Hughes|John Hughes,Michael Keaton|Teri Garr|Martin Mull|Ann Jillian|Christopher Lloyd,Mr. Mom
Jon Avnet|Steve Tisch,Paul Brickman,,Tom Cruise|Rebecca De Mornay,Risky Business
Don Simpson|Jerry Bruckheimer,Martin Brest,,Eddie Murphy,Beverly Hills Cop
,Ivan Reitman,Dan Aykroyd|Harold Ramis,Bill Murray|Sigourney Weaver|Rick Moranis,Ghostbusters
Robert Watts,Steven Spielberg,,Harrison Ford|Kate Capshaw|Amrish Puri|Roshan Seth|Philip Stone|Jonathan Ke Quan,Indiana Jones and the Temple of Doom
Michael Finnell,Joe Dante,Chris Columbus|Chris Columbus,Zach Galligan|Phoebe Cates|Hoyt Axton|Polly Holliday|Frances Lee McCain,Gremlins
Jerry Weintraub,John G. Avildsen,Robert Mark Kamen,"Ralph Macchio|Pat Morita|Noriyuki ""Pat"" Morita|Elisabeth Shue",The Karate Kid
,Hugh Wilson|Hugh Wilson,,Steve Guttenberg|Kim Cattrall|Bubba Smith|George Gaynes,Police Academy
Lewis J. Rachmil|Craig Zadan,Herbert Ross,Dean Pitchford,Kevin Bacon|Lori Singer|Dianne Wiest|John Lithgow,Footloose
Michael Douglas,Robert Zemeckis,Diane Thomas,Kathleen Turner|Danny DeVito|Alfonso Arau|Manuel Ojeda,Romancing the Stone
Harve Bennett,Leonard Nimoy,Harve Bennett,William Shatner|DeForest Kelley|James Doohan|George Takei|Walter Koenig|Nichelle Nichols|Merritt Butrick|Christopher Lloyd,Star Trek III:|The Search for Spock
Brian Grazer,Ron Howard,,Tom Hanks|Daryl Hannah|Eugene Levy|John Candy,Splash
,Babbar Subhash,Dr. Rahi Masoom Reza|Deepak Balraj Vij,Rajesh Khanna|Om Puri|Gita Siddharth|Om Shivpuri,Disco Dancer
Bob Gale|Neil Canton,Robert Zemeckis,,Michael J. Fox|Christopher Lloyd|Lea Thompson|Crispin Glover,Back to the Future
Buzz Feitshans,George P. Cosmatos,,Richard Crenna|Charles Napier|Charles Napier|Steven Berkoff,Rambo: First Blood Part II
Robert Chartoff|Irwin Winkler,Sylvester Stallone,,Talia Shire|Burt Young|Carl Weathers|Brigitte Nielsen|Dolph Lundgren,Rocky IV
Quincy Jones|Kathleen Kennedy|Kathleen Kennedy|Frank Marshall|Frank Marshall,Steven Spielberg,,Whoopi Goldberg|Danny Glover|Adolph Caesar|Oprah Winfrey|Margaret Avery|Whoopi Goldberg|Danny Glover|Adolph Caesar|Oprah Winfrey|Margaret Avery|Rae Dawn Chong,The Color Purple
Kim Jorgensen,Sydney Pollack,,Robert Redford|Meryl Streep|Klaus Maria Brandauer,Out of Africa
