,,,Ed Harris|Brad Dourif|Robert Forster,Touching Home
Lorne Michaels|John Goldwyn,Jorma Taccone,,Kristen Wiig|Ryan Phillippe|Powers Boothe|Maya Rudolph|Val Kilmer,MacGruber
Gina Shay|Teresa Cheng,Mike Mitchell|Mike Mitchell,Josh Klausner|Darren Lemke,Mike Myers|Eddie Murphy|Cameron Diaz|Antonio Banderas|Julie Andrews|John Cleese|Walt Dohrn,Shrek Forever After
Tory Tunnell,Kevin Asch,Antonio Macia,Hallie Eisenberg|Q-Tip (rapper)|Q-Tip|Jason Fuchs,Holy Rollers
,Marshall Curry,,,Racing Dreams
Jared Ian Goldman|Steven Soderbergh,Brian Koppelman|David Levien,,Michael Douglas|Jenna Fischer|Jesse Eisenberg|Mary-Louise Parker|Imogen Poots|Susan Sarandon|Danny DeVito,Solitary Man
Rakesh Roshan|Brett Ratner,,,,Kites: The Remix
Jan Mojto,Florian Gallenberger,Florian Gallenberger,Ulrich Tukur|Daniel BrÃ¼hl|Steve Buscemi|Anne Consigny|Jingchu Zhang,John Rabe
David Michael Latt|David Rimawi|Paul Bales,,,Patrick Muldoon|Bo Svenson,The 7 Adventures of Sinbad
John Melfi|Sarah Jessica Parker|Darren Star,Michael Patrick King,,Sarah Jessica Parker|Kim Cattrall|Kristin Davis|Cynthia Nixon,Sex and the City 2
Jerry Bruckheimer,Mike Newell|Mike Newell,,Jake Gyllenhaal|Ben Kingsley|Gemma Arterton|Alfred Molina,Prince of Persia: The Sands of Time
Peter Grunwald,George A. Romero,,Julian Richings|Wayne Robson,Survival of the Dead
,Mia Hansen-LÃ¸ve,,Louis-Do de Lencquesaing|Chiara Caselli,Father of My Children
FrÃ©dÃ©ric Brillion|Gilles Legrand,Jean-Pierre Jeunet,Guillaume Laurent,Dany Boon|Yolande Moreau|Dominique Pinon|AndrÃ© Dussollier|Jean-Pierre Marielle,Micmacs
,Alejandro AmenÃ¡bar,Alejandro AmenÃ¡bar|Mateo Gil,Rachel Weisz|Max Minghella|Oscar Isaac,Agora
Judd Apatow|Rodney Rothman,Nicholas Stoller,,Jonah Hill|Russell Brand|Elisabeth Moss|Rose Byrne|Colm Meaney|Sean Combs,Get Him to the Greek
Ashton Kutcher,Robert Luketic,,Katherine Heigl,Killers
John Davis|John Davis,Tom Dey,,Lee Pace|Judy Greer|Owen Wilson|George Lopez|Emma Stone|Fergie (singer)|Fergie|Steve Coogan|Marlon Wayans|Kiefer Sutherland|Christopher Mintz-Plasse|Devon Werkheiser|Josh Gad,Marmaduke
Steve Hoban,Vincenzo Natali,,Adrien Brody|Sarah Polley|Delphine ChanÃ©ac,Splice
,Neil Jordan,,Colin Farrell|Alicja Bachleda-Curu#347;|Alicja Bachleda,Ondine
Mark N. Hopkins,Mark N. Hopkins,,,Living in Emergency
,J Roland Kelly,,,Sleeping with Charlie Kaufman
,Jordan Galland,Jordan Galland,Jake Hoffman|Devon Aoki|John Ventimiglia,Rosencrantz and Guildenstern Are Undead
,Prakash Jha,,Ajay Devgan|Ranbir Kapoor|Nana Patekar|Katrina Kaif|Arjun Rampal|Manoj Bajpayee|Sarah Thompson|Sarah Thompson|Naseeruddin Shah,Raajneeti
,,,Leelee Sobieski|Kristen Johnston|Matthew Davis|Mircea Monroe|Denise Richards,Finding Bliss
Chris Innis,Duke Mitchell,,,Gone with the Pope
Sue Bea Montgomery,Craig Bartlett,,,
Stephen J. Cannell|Tony Scott|Alex Young (studio executive)|Alex Young|Iain Smith|Iain Smith,Joe Carnahan,,Liam Neeson|Ice-T|Bradley Cooper|Jessica Biel|Quinton Jackson|Sharlto Copley|Brian Bloom|Patrick Wilson (American actor)|Patrick Wilson,The A-Team
Jerry Weintraub|Will Smith|Jada Pinkett Smith|James Lassiter,Harald Zwart,,Jackie Chan|Jaden Smith|Taraji P. Henson,The Karate Kid
,,,Joan Rivers|Melissa Rivers|Kathy Griffin|Billy Sammeth,Joan Rivers: A Piece of Work
Blake Ashman|Todd Bartels|Erin Lanuti|James Lawler,,,,The Lottery
Akiva Goldsman|Andrew Lazar,Jimmy Hayward,,Josh Brolin|John Malkovich|Megan Fox|Michael Fassbender|Will Arnett|Michael Shannon|Wes Bentley,Jonah Hex
Darla K. Anderson,Lee Unkrich,,Tom Hanks|Tim Allen|Joan Cusack|Don Rickles|Wallace Shawn|John Ratzenberger|Estelle Harris|Blake Clark|Ned Beatty|Michael Keaton|Jodi Benson|John Morris|John Morris,Toy Story 3
Michael Costigan|Michael Costigan,Jay Duplass|Mark Duplass,,John C. Reilly|Jonah Hill|Marisa Tomei|Catherine Keener,Cyrus
Tilda Swinton,Luca Guadagnino,,Edoardo Gabbriellini|Alba Rohrwacher|Diane Fleri|Waris Ahluwalia|Marisa Berenson|Gabriele Ferzetti,I Am Love
,Michael Winterbottom,,Casey Affleck|Jessica Alba|Kate Hudson|Bill Pullman,The Killer Inside Me
,Mani Ratnam,Vijay Krishna Acharya,Vikram|Vikram|Abhishek Bachchan|Aishwarya Rai|Govinda|Govinda|Ravi Kishan|Nikhil Dwivedi|Tejaswini Kolhapure|Priyamani,Raavan
Bruce Bastian|Chris Volz|Christopher Reece-Volz,Reed Cowan|Steven Greenstreet,,,8: The Mormon Proposition
,,,,45365
,,,,Stonewall Uprising
,Michelangelo Antonioni,Suso Cecchi D'Amico,Eleonora Rossi Drago|Gabriele Ferzetti|Franco Fabrizi|Valentina Cortese,Le amiche
Cathy Konrad|Todd Garner|Steve Pink,James Mangold,,Tom Cruise|Cameron Diaz|Peter Sarsgaard|Viola Davis|Gal Gadot|Jordi MollÃ\xa0|Paul Dano,Knight and Day
Jack Giarraputo|Adam Sandler,Dennis Dugan,Fred Wolf (comedy writer)|Fred Wolf,Kevin James|Chris Rock|David Spade|Rob Schneider,Grown Ups
Jose Ibanez,Oliver Stone,Tariq Ali|Mark Weisbrot,Hugo ChÃ¡vez|Evo Morales|Cristina Kirchner|NÃ©stor Kirchner|Rafael Correa|RaÃºl Castro|Fernando Lugo|Luiz InÃ¡cio Lula da Silva|Lula da Silva|Tariq Ali,South of the Border
Jean-Louis Livi|Julie Salvador,Alain Resnais,Alex Reval|Laurent Herbiet,Sabine AzÃ©ma|AndrÃ© Dussollier|Anne Consigny|Emmanuelle Devos,Wild Grass
,Yorgos Lanthimos,Efthymis Filippou,Angeliki Papoulia|Mary Tsoni,Dogtooth
,Tim Hetherington|Sebastian Junger,,,Restrepo
,YasujirÅ\x8d Ozu,Akira Fushimi|YasujirÅ\x8d Ozu,Tatsuo SaitÅ\x8d|Tomio Aoki|Hideo Sugawara,I Was Born|But...
Wyck Godfrey,David Slade,,Kristen Stewart|Robert Pattinson|Taylor Lautner|Bryce Dallas Howard|Billy Burke|Billy Burke|Dakota Fanning,The Twilight Saga: Eclipse
David Bergstein|Lou DiBella,Taylor Hackford,Mark Jacobson,Helen Mirren|Joe Pesci,Love Ranch
Sam Mercer|Frank Marshall|Frank Marshall,M. Night Shyamalan,,Noah Ringer|Dev Patel|Nicola Peltz|Jackson Rathbone|Shaun Toub|Aasif Mandvi|Cliff Curtis,The Last Airbender
,,,,Only When I Dance
,Angela Ismailos,,,Great Directors
,,,,Sesame Workshop
,,,Jim Jinkins,
Ron Rodecker,,,,
Ron Rodecker,,,,
,,,,India Ennenga
,,,,Andrea Libman
Chris Meledandri,Pierre Coffin|Chris Renaud|Chris Renaud,,Steve Carell|Jason Segel|Russell Brand|Kristen Wiig|Miranda Cosgrove|Will Arnett|Jason Segel|Russell Brand|Kristen Wiig|Miranda Cosgrove|Will Arnett|Julie Andrews,Despicable Me
Robert Rodriguez|John Davis|John Davis|Elizabeth AvellÃ¡n,NimrÃ³d Antal,,Adrien Brody|Topher Grace|Alice Braga|Walton Goggins|Topher Grace|Alice Braga|Walton Goggins|Laurence Fishburne,Predators
Gary Gilbert|Jeff Levy-Hinte|Jeffrey Levy-Hinte|Celine Rattray|Jordan Horowitz,Lisa Cholodenko,Stuart Blumberg,Annette Bening|Julianne Moore|Mark Ruffalo|Mia Wasikowska|Josh Hutcherson,The Kids Are All Right
,Ben Steinbauer,,Douglas Rushkoff,Winnebago Man
,,,Diversity (dance troupe)|Diversity|Flawless (dance group)|Flawless|George Sampson|Charlotte Rampling|Eleanor Bron|Nichola Burley|Patrick Baladi|Jocelyn Jee Esien|Richard Winsor|Jeremy Sheffield,StreetDance 3D
,Jaume BalaguerÃ³|Paco Plaza,,Manuela Velasco|Jonathan D. Mellor|Jonathan Mellor,REC 2
,Daniel Alfredson,,Michael Nyqvist|Noomi Rapace,The Girl Who Played with Fire
,Nicolas Winding Refn,,Mads Mikkelsen,Valhalla Rising
Emma Thomas,Christopher Nolan,,Leonardo DiCaprio|Ken Watanabe|Joseph Gordon-Levitt|Marion Cotillard|Ellen Page|Tom Hardy|Cillian Murphy|Tom Berenger|Michael Caine,Inception
,Lance Daly,,Kelly O'Neill|Shane Curry|Shane Curry,Kisses
Al Sapienza,Stewart Raffill,Stewart Raffill,,Standing Ovation
Lucas Cruikshank|Brian Robbins,Clay Weiner,David A. Goodman,Jennette McCurdy|Pixie Lott|John Cena|Siobhan Fallon Hogan|Jake Weary|Oscar Nunez,
Denise Di Novi,Elizabeth Allen|Elizabeth Allen,,Joey King|Selena Gomez|Hutch Dano|Ginnifer Goodwin|John Corbett|John Corbett|Bridget Moynahan|Josh Duhamel|Jason Spevack|Sandra Oh|Janet Wright|Sierra McCormick|Lynda Boyd,Ramona and Beezus
Lorenzo di Bonaventura,Phillip Noyce,Kurt Wimmer,Angelina Jolie|Liev Schreiber|Chiwetel Ejiofor|Daniel Olbrychski|August Diehl|Yara Shahidi,Salt
Lawrence Bender,Lucy Walker|Lucy Walker,,,Countdown to Zero
,Christian Carion,,Guillaume Canet|Emir Kusturica|Willem Dafoe|Fred Ward,Farewell
,Victor NuÃ±ez,,Kuno Becker|Ruben Blades|Miguel Sandoval|Persia White,Spoken Word
,,,,Mugabe and the White African
Elizabeth Redleaf,Todd Solondz,,Ally Sheedy|Allison Janney|CiarÃ¡n Hinds|Chris Marquette|Paul Reubens|Dylan Riley Snyder,Life During Wartime
Marc E. Platt|Marc Platt|Ben Sherwood,Burr Steers,,Zac Efron|Charlie Tahan|Amanda Crew|Kim Basinger|Ray Liotta|Augustus Prew|Donal Logue,Charlie St. Cloud
Walter F. Parkes|Laurie MacDonald,Jay Roach,,Steve Carell|Paul Rudd|Jemaine Clement|Jeff Dunham|Bruce Greenwood|Ron Livingston,Dinner for Schmucks
Jonathan Ames,Shari Springer Berman and Robert Pulcini|Shari Springer Berman|Robert Pulcini,,Kevin Kline|Paul Dano|Katie Holmes|John C. Reilly,The Extra Man
Heather Rae,,,Ryan Oâ€™Nan|America Ferrera|Wilmer Valderrama|Jason Ritter|Melissa Leo,The Dry Land
Peter Raymont,,,Hugh Hefner|Jenny McCarthy|Dick Cavett|Ruth Westheimer|Shannon Tweed,Hugh Hefner: Playboy|Activist and Rebel
,Leon Gast,,Ron Galella,Smash His Camera
Dean Zanuck|David Gundlach,Aaron Schneider,,Robert Duvall|Sissy Spacek|Bill Murray|Lucas Black|Bill Cobbs,Get Low
,Rob Reiner,,Madeline Carroll|Callan McAuliffe|Rebecca De Mornay|Anthony Edwards|John Mahoney|Penelope Ann Miller|Aidan Quinn,Flipped
Will Ferrell,Adam McKay,Chris Henchy,Mark Wahlberg|Eva Mendes|Michael Keaton|Steve Coogan|Ray Stevenson|Ray Stevenson|Samuel L. Jackson|Dwayne Johnson,The Other Guys
Adam Shankman,Jon M. Chu,,Rick Malambri|Sharni Vinson|Adam G. Sevani|Adam Sevani|Alyson Stoner,Step Up 3
Adrian Sturges,J Blakeson,J Blakeson,Gemma Arterton|Martin Compston|Eddie Marsan,The Disappearance of Alice Creed
,George Gallo,,Luke Wilson|Giovanni Ribisi|Gabriel Macht|James Caan|James Caan,Middle Men
Ted Field,Joel Schumacher,,Chace Crawford|Rory Culkin|50 Cent|Curtis Jackson|Emily Meade|Emma Roberts|Erik Per Sullivan,Twelve
Mike Medavoy,,,Conrad Anker|Leo Houlding|Ralph Fiennes|Natasha Richardson|Hugh Dancy|Alan Rickman,The Wildest Dream
Per Holst,Nicolo Donato|Nicolo Donato,Rasmus Birch,Thure Lindhardt|David Dencik,Brotherhood
Christine Vachon,Ruba Nadda,,Patricia Clarkson|Alexander Siddig|Elena Anaya|Tom McCamus|Amina Annabi,Cairo Time
Uri Sabag|Einat Bikel,Samuel Maoz,,Oshri Cohen|Itay Tiran,Lebanon
,Lou Ye,,,Spring Fever
,,,Gustaf SkarsgÃ¥rd|Torkel Petersson|Tom Ljungman,Patrik|Age 1.5
,,,,Strawberry Shortcake
Brad Pitt|Dede Gardner|Jeremy Kleiner,Ryan Murphy|Ryan Murphy,,Julia Roberts|James Franco|Richard Jenkins|Viola Davis|Billy Crudup|Javier Bardem,Eat Pray Love
Avi Lerner,Sylvester Stallone,,Jason Statham|Jet Li|Dolph Lundgren|Randy Couture|Steve Austin|Terry Crews|Mickey Rourke|Bruce Willis|Jason Statham|Jet Li|Dolph Lundgren|Randy Couture|Steve Austin|Terry Crews|Mickey Rourke|Bruce Willis,The Expendables
Nira Park|Marc E. Platt|Marc Platt,Edgar Wright,,Michael Cera|Mary Elizabeth Winstead|Kieran Culkin|Chris Evans|Chris Evans|Anna Kendrick|Alison Pill|Brandon Routh|Michael Cera|Mary Elizabeth Winstead|Kieran Culkin|Chris Evans|Chris Evans|Anna Kendrick|Alison Pill|Brandon Routh|Jason Schwartzman,Scott Pilgrim vs. the World
Toshio Suzuki|Toshio Suzuki,GorÅ\x8d Miyazaki,,Bunta Sugawara|Junichi Okada|Aoi Teshima|YÅ«ko Tanaka,Tales from Earthsea
,,Manny Perez,Manny Perez|Denise QuiÃ±ones|Paul CalderÃ³n|Juan FernÃ¡ndez de Alarcon|Juan FernÃ¡ndez|Hemky Madera|Jaime Tirelli|Margo Martindale|Joseph Lyle Taylor|Celines Toribio|Ulysses Terrero|AnaÃ\xads Martinez,
Liz Watts,David MichÃ´d,,Ben Mendelsohn|Joel Edgerton|Guy Pearce|Luke Ford|Luke Ford|Jacki Weaver|Sullivan Stapleton|James Frecheville,Animal Kingdom
,Micki Dickoff|Tony Pagano,,,Neshoba: The Price of Freedom
Aamir Khan|Kiran Rao,Anusha Rizvi,,Omkar Das Manikpuri|Raghubir Yadav|Shalini Vatsa|Malaika Shenoy|Nawazuddin Siddiqui|Naseeruddin Shah,Peepli Live
,Annemarie Jacir,,Suheir Hammad|Saleh Bakri,Salt of this Sea
Peter Safran,Jason Friedberg and Aaron Seltzer|Jason Friedberg|Aaron Seltzer,,Jenn Proske|Matt Lanter|Chris Riggi|Christopher N. Riggi|Ken Jeong|Anneliese van der Pol|Arielle Kebbel,Vampires Suck
,,,,A Film Unfinished
Mark Burg|Oren Koules|Andrew Kosove|Broderick Johnson,Erik White,,Bow Wow (rapper)|Bow Wow|Brandon T. Jackson|Naturi Naughton|Keith David|Charlie Murphy|Gbenga Akinnagbe|Terry Crews|Loretta Devine|Ice Cube,Lottery Ticket
Tim Bevan|Eric Fellner|Lindsay Doran,Susanna White,,Emma Thompson|Maggie Gyllenhaal|Rhys Ifans|Maggie Smith,Nanny McPhee Returns
GrÃ©gory Levasseur,Alexandre Aja,Josh Stolberg,Elisabeth Shue|Adam Scott|Adam Scott|Jerry O'Connell|Ving Rhames|Jessica Szohr|Steven R. McQueen|Christopher Lloyd|Richard Dreyfuss,Piranha 3D
Albert Berger|Ron Yerxa,Josh Gordon|Josh Gordon,,Jennifer Aniston|Jason Bateman|Patrick Wilson (American actor)|Patrick Wilson|Juliette Lewis|Jeff Goldblum,The Switch
,,,John Ratzenberger|Kristin Minter|Toni Trucks|Stelio Savante,What If...
,Robert GuÃ©diguian,,Virginie Ledoyen|Simon Abkarian,The Army of Crime
,Fatih AkÄ±n,Adam Bousdoukos,Birol Ãœnel|Moritz Bleibtreu|Anna Bederke,Soul Kitchen
,Amir Bar-Lev,,Pat Tillman,The Tillman Story
Eric Newman|Eric Newman|Eli Roth|Marc Abraham|Thomas A. Bliss,Daniel Stamm,,Patrick Fabian|Ashley Bell|Ashley Bell,The Last Exorcism
Gary Gilbert,John Luessenhop,,Chris Brown|Hayden Christensen,Takers
Jon Landau|Jon Landau,James Cameron,,Sam Worthington|Zoe Saldana|Stephen Lang|Michelle Rodriguez|Stephen Lang|Michelle Rodriguez|Sigourney Weaver,Avatar
,Jean-FranÃ§ois Richet,Abdel Raouf Dafri,Vincent Cassel,Mesrine
JosÃ© MarÃ\xada Morales|JosÃ© MarÃ\xada Morales,Claudia Llosa,Claudia Llosa,Magaly Solier,The Milk of Sorrow
Christian Colson,Neil Marshall,,Michael Fassbender|Dominic West|Olga Kurylenko|Noel Clarke|Liam Cunningham|David Morrissey|Riz Ahmed|JJ Feild|Dimitri Leonidas|Imogen Poots|Ulrich Thomsen,Centurion
,,,,Make-Out with Violence
Grant Heslov|George Clooney,Anton Corbijn,,Johan Leysen|Violante Placido|Thekla Reuten|Paolo Bonacelli|Irina BjÃ¶rklund|Filippo Timi,The American
Adam Shankman,Nanette Burstein,Geoff LaTulippe,Drew Barrymore|Justin Long|Charlie Day|Jason Sudeikis|Christina Applegate,Going the Distance
Elizabeth AvellÃ¡n|Rick Schwartz,Robert Rodriguez|Ethan Maniquis,,Danny Trejo|Steven Seagal|Michelle Rodriguez|Jeff Fahey|Cheech Marin|Lindsay Lohan|Don Johnson|Jessica Alba|Robert De Niro,Machete
,,,Patricia Drake,Barbie: A Fashion Fairy Tale
Jeremy Bolt|Don Carmody|Bernd Eichinger|Samuel Hadida,Paul W. S. Anderson,,Milla Jovovich|Ali Larter|Kim Coates|Shawn Roberts|Sergio Peris-Mencheta|Spencer Locke|Boris Kodjoe|Wentworth Miller,Resident Evil: Afterlife
Will Ferrell|Adam McKay|Chris Henchy|Amy Hobby,,,Matt Bennett|Zack Pearlman,The Virginity Hit
,Carl Bessai,,Dustin Milligan|Amanda Crew,Repeaters
Andrew Macdonald|Andrew Macdonald,Mark Romanek,,Carey Mulligan|Keira Knightley|Andrew Garfield,Never Let Me Go
Richard Rich|Richard Rich|Steve Moore|Steve Moore,Anthony Bell|Anthony Bell|Ben Gluck,,Justin Long|Hayden Panettiere|Dennis Hopper|Danny Glover|Christina Ricci,Alpha and Omega
M. Night Shyamalan|Sam Mercer,John Erick Dowdle,,Chris Messina|Logan Marshall-Green|Geoffrey Arend|Bojana Novakovic|Jenny O'Hara|Bokeem Woodbine|Jacob Vargas,Devil
,Will Gluck,Bert V. Royal,Emma Stone|Penn Badgley|Amanda Bynes|Dan Byrd|Thomas Haden Church|Patricia Clarkson|Cam Gigandet|Lisa Kudrow|Malcolm McDowell|Aly Michalka|Stanley Tucci,Easy A
Graham King|Basil Iwanyk,Ben Affleck,,Rebecca Hall|Jon Hamm|Jeremy Renner|Blake Lively|Titus Welliver|Pete Postlethwaite|Chris Cooper,The Town
Andrew Jarecki|Marc Smerling,Henry Joost|Ariel Schulman,,Nev Schulman,Catfish
Peter Saraf|Marc Turtletaub,Philip Seymour Hoffman,Robert Glaudini,Amy Ryan|John Ortiz|Daphne Rubin-Vega,Jack Goes Boating
Larry Strong|Kevin Arbouet,Vlad Yudin,Vlad Yudin,DJ Qualls|Nikki Reed|William Sadler|William Sadler,Last Day of Summer
Edward Norton,Tim Blake Nelson,,Richard Dreyfuss|Susan Sarandon,Leaves of Grass
Letty Aronson|Stephen Tenenbaum|Jaume Roures,Woody Allen,,Antonio Banderas|Josh Brolin|Anthony Hopkins|Gemma Jones|Freida Pinto|Lucy Punch|Naomi Watts|Roger Ashton-Griffiths|Pauline Collins,You Will Meet a Tall Dark Stranger
Edward R. Pressman,Oliver Stone,Allan Loeb|Stephen Schiff,Michael Douglas|Shia LaBeouf|Josh Brolin|Carey Mulligan|Eli Wallach|Susan Sarandon|Frank Langella,Wall Street: Money Never Sleeps
,Andy Fickman,,Kristen Bell|Jamie Lee Curtis|Sigourney Weaver|Odette Annable|Odette Yustman|Betty White,You Again
Peter Safran,Rodrigo CortÃ©s,Chris Sparling,Ryan Reynolds,Buried
Kevin Downes|Bobby Downes,Jon Gunn,,Mira Sorvino|Barry Pepper|Cole Hauser|Kate Levering|Maxwell Perry Cotton|L. Scott Caldwell,Like Dandelion Dust
,Tran Anh Hung,,Kenichi Matsuyama|Rinko Kikuchi|Kiko Mizuhara,Norwegian Wood
Kevin Misher,Christian Alvart,,RenÃ©e Zellweger|Jodelle Ferland|Ian McShane|Bradley Cooper,Case 39
,Matt Reeves,,Kodi Smit-McPhee|ChloÃ« Grace Moretz|Elias Koteas|Richard Jenkins,Let Me In
Scott Rudin|Dana Brunetti|Michael De Luca|CeÃ¡n Chaffin,David Fincher,,Jesse Eisenberg|Andrew Garfield|Justin Timberlake|Armie Hammer|Max Minghella,The Social Network
,Bernie Denk,,Sonja Ball,Spookley the Square Pumpkin
Barry Josephson|Paul Brooks,Greg Berlanti,,Katherine Heigl|Josh Duhamel|Josh Lucas,Life As We Know It
,Wes Craven,,Max Thieriot|Denzel Whitaker|Raul Esparza|Max Thieriot|Denzel Whitaker|Raul Esparza|Shareeka Epps,My Soul to Take
Mark Ciardi,Randall Wallace,Mike Rich|Sheldon Turner,Diane Lane|John Malkovich|Margo Martindale|Dylan Walsh|James Cromwell|Kevin Connolly|Kevin Connolly|Scott Glenn,Secretariat
Lisa M. Hansen|Paul Hertzberg,Steven R. Monroe,,Sarah Butler|Jeff Branson|Daniel Franzese|Rodney Eastman|Chad Lindberg|Tracey Walter|Andrew Howard,I Spit on Your Grave
Audrey Marrs,Charles H. Ferguson|Charles Ferguson,,,Inside Job
,JosÃ© Padilha,BrÃ¡ulio Mantovani,Milhem Cortaz|AndrÃ© Mattos|Maria Ribeiro,Elite Squad: The Enemy Within
,Jonathan Lynn,Lucinda Coxon,Bill Nighy|Emily Blunt|Rupert Grint|Eileen Atkins|Martin Freeman|Rupert Everett,Wild Target
Douglas Rae (TV executive)|Douglas Rae,Sam Taylor-Johnson|Sam Taylor-Wood,,Aaron Taylor-Johnson|Aaron Johnson|Anne-Marie Duff|Kristin Scott Thomas|David Threlfall|Thomas Brodie-Sangster|Thomas Sangster|David Morrissey,Nowhere Boy
,John Curran|John Curran,Angus MacLachlan,Robert De Niro|Edward Norton|Milla Jovovich|Frances Conroy,Stone
Alison Owen|Tracey Seaward|Paul Trijbits,Stephen Frears,,Gemma Arterton|Dominic Cooper|Luke Evans|Luke Evans|Tamsin Greig|Jessica Barden,Tamara Drewe
AFI Catalog of Feature Films|Johnny Knoxville|Spike Jonze,Jeff Tremaine,Rick Kosick,,Jackass 3D
Lorenzo di Bonaventura,Robert Schwentke,,Bruce Willis|Morgan Freeman|John Malkovich|Karl Urban|Mary-Louise Parker|Helen Mirren,Red
Andrew Sugerman|Andrew Karsch|Andrew S. Karsch,Tony Goldwyn,Pamela Gray,Hilary Swank|Sam Rockwell|Minnie Driver|Melissa Leo|Peter Gallagher|Juliette Lewis,Conviction
,Olivier Assayas,Olivier Assayas,Ã‰dgar RamÃ\xadrez|Ahmad Kaabour|Anna Thalbach|Julia Hummer,Carlos
Kathleen Kennedy|Kathleen Kennedy|Robert Lorenz,Clint Eastwood,Peter Morgan,Matt Damon|CÃ©cile de France,Hereafter
Jason Blum|Akiva Goldsman|Oren Peli,Tod Williams|Tod Williams,,Sprague Grayden|Molly Ephraim|Katie Featherston,Paranormal Activity 2
Gregg Hoffman|Oren Koules|Mark Burg,Kevin Greutert,,Tobin Bell|Costas Mandylor|Betsy Russell|Sean Patrick Flanery|Cary Elwes,Saw 3D
Allan Niblo,Gareth Edwards|Gareth Edwards,,Scoot McNairy|Whitney Able,Monsters
Linda Ziegler|Elise A. Hamid,Dean A. Burhanuddin,Dean A. Burhanuddin,Kahoe Howard Hon|Faisal Abdullah|Adibah Noor|Joshry Adamme,Crayon
Daniel Goldberg|Daniel Goldberg|Susan Downey,Todd Phillips,,Robert Downey Jr.|Zach Galifianakis|Michelle Monaghan|Juliette Lewis|Jamie Foxx,Due Date
Jez Butterworth|Akiva Goldsman|Bill Pohlad|Jerry Zucker|Jerry Zucker,Doug Liman,,Naomi Watts|Sean Penn|Noah Emmerich|Ty Burrell|Sam Shepard|Bruce McGill|Khaled El Nabawy|Liraz Charhi,Fair Game
,Tyler Perry,,Janet Jackson|Thandie Newton|Whoopi Goldberg|Phylicia Rashad|Anika Noni Rose|Loretta Devine|Kimberly Elise|Kerry Washington|Macy Gray,For Colored Girls
Lara Breay,Tom McGrath|Tom McGrath,,Will Ferrell|Tina Fey|Jonah Hill|David Cross|Brad Pitt,Megamind
Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Ian Bryce,Michael Bay,,Shia LaBeouf|Tyrese Gibson|Josh Duhamel|Anthony Anderson|Megan Fox|Rachael Taylor|John Turturro|Jon Voight,Transformers
Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Ian Bryce,Michael Bay,,Shia LaBeouf|Megan Fox|Josh Duhamel|Tyrese Gibson|John Turturro,Transformers: Revenge of the Fallen
Christian Colson|John Smithson,Danny Boyle,,James Franco|Kate Mara|Amber Tamblyn,127 Hours
Mark Herbert|Derrin Schlesinger,Chris Morris (satirist)|Chris Morris,Jesse Armstrong|Sam Bain,Riz Ahmed|Kayvan Novak|Nigel Lindsay|Arsher Ali|Adeel Akhtar,Four Lions
,Damien Chazelle,,,Guy and Madeline on a Park Bench
Robert Winthrop,Davis Doi,Thomas Hart|Thomas Hart,Tracey Moore|Anna Cummer,Care Bears: Share Bear Shines
J. J. Abrams|Bryan Burk,Roger Michell,Aline Brosh McKenna,Rachel McAdams|Harrison Ford|Diane Keaton|Patrick Wilson (American actor)|Patrick Wilson|Jeff Goldblum,Morning Glory
,Brothers Strause|The Brothers Strause,,Eric Balfour|Scottie Thompson|Brittany Daniel|Crystal Reed|David Zayas|Donald Faison,Skyline
Mimi Rogers|Alex Young (studio executive)|Alex Young,Tony Scott,Mark Bomback,Denzel Washington|Chris Pine|Rosario Dawson,Unstoppable
Michael Nozik,Paul Haggis,,Russell Crowe|Elizabeth Banks|Brian Dennehy|Lennie James|Olivia Wilde|Liam Neeson|Daniel Stern|Daniel Stern|Ty Simpkins,The Next Three Days
Elizabeth Karlsen|Stephen Woolley,Nigel Cole,,Sally Hawkins|Bob Hoskins|Miranda Richardson|Geraldine James|Rosamund Pike|Andrea Riseborough|Jaime Winstone|Daniel Mays|Richard Schiff,Made in Dagenham
Donald De Line,Steven Antin,,Cher|Christina Aguilera|Eric Dane|Cam Gigandet|Julianne Hough|Alan Cumming|Peter Gallagher|Kristen Bell|Stanley Tucci,Burlesque
Tony Gayton|Robert Teitel,George Tillman Jr.,,Dwayne Johnson|Billy Bob Thornton,Faster
Roy Conli,Nathan Greno|Byron Howard,,Mandy Moore|Zachary Levi|Donna Murphy,Tangled
Kunal Kohli,Danish Aslam,,Imran Khan (Bollywood actor)|Imran Khan|Deepika Padukone,Break Ke Baad
,Andrei Konchalovsky,,Elle Fanning|Nathan Lane|Frances de la Tour|John Turturro|Richard E. Grant|Julia Vysotskaya|Elle Fanning|Nathan Lane|Frances de la Tour|John Turturro|Richard E. Grant|Julia Vysotskaya,The Nutcracker in 3D
,Darren Aronofsky,,Natalie Portman|Vincent Cassel|Mila Kunis|Barbara Hershey|Winona Ryder,Black Swan
Andrew Lazar|Far Shariat,John Requa|Glenn Ficarra,,Jim Carrey|Ewan McGregor|Rodrigo Santoro|Antoni Corone|Leslie Mann,I Love You Phillip Morris
